step,equity,inventory,bid,ask,bid_missing,ask_missing,t,mid_mark,microprice,spread,bid_sz,ask_sz,imbalance,cash,inv_value,realized_pnl,unreal_pnl,fees_paid,mm_fills,mm_cancels_sub,mm_cancels_ok,mm_bid_px,mm_ask_px,mm_bid_qty,mm_ask_qty,mm_at_best_bid,mm_at_best_ask,tob_share_bid,tob_share_ask,last_trade_px,last_trade_sign
191,-24.2233999999,-109,99.9600000000,99.9900000000,0,0,19.200000,100.1300000000,99.9783333333,0.0300000000,11,7,0.222222,10889.9466000001,-10914.1700000000,-5.3571465123,-19.1928534877,-0.3266000000,1633,2502,246,99.9800000000,100.2800000000,0,1,0,0,nan,nan,99.9900000000,1
192,-26.1803999999,-116,99.9600000000,100.0000000000,0,0,19.300000,100.1400000000,99.9717647059,0.0400000000,5,12,-0.411765,11590.0596000001,-11616.2400000000,-5.3763625650,-21.1336374351,-0.3296000000,1648,2514,247,99.9800000000,100.3800000000,0,1,0,0,nan,nan,100.0000000000,1
193,-24.9879999999,-126,99.9900000000,100.0100000000,0,0,19.400000,100.1200000000,99.9980000000,0.0200000000,4,6,-0.200000,12590.1320000001,-12615.1200000000,-5.4068058495,-19.9131941505,-0.3320000000,1660,2519,248,99.9900000000,100.4300000000,1,1,1,0,0.2500000000,nan,100.0100000000,1
194,-27.1555999999,-134,100.0100000000,100.0200000000,0,0,19.500000,100.1300000000,100.0166666667,0.0100000000,2,1,0.333333,13390.2644000001,-13417.4200000000,-5.4954861912,-21.9945138088,-0.3344000000,1672,2535,250,100.0100000000,100.3800000000,1,1,1,0,0.5000000000,nan,100.0100000000,-1
195,-29.3535999999,-142,100.0200000000,100.0300000000,0,0,19.600000,100.1400000000,100.0272727273,0.0100000000,8,3,0.454545,14190.5264000001,-14219.8800000000,-5.5382198686,-24.1517801314,-0.3364000000,1682,2559,252,100.0200000000,100.4400000000,1,1,1,0,0.1250000000,nan,100.0300000000,1
196,-38.8809999999,-149,100.0200000000,100.0600000000,0,0,19.700000,100.2000000000,100.0560000000,0.0400000000,9,1,0.800000,14890.9190000001,-14929.8000000000,-5.6783437611,-33.5416562389,-0.3390000000,1695,2573,254,nan,nan,0,0,0,0,nan,nan,100.0200000000,-1
197,-41.9807999999,-150,100.0500000000,100.1000000000,0,0,19.800000,100.2200000000,100.0750000000,0.0500000000,7,7,0.000000,14991.0192000001,-15033.0000000000,-5.6783437611,-36.6416562389,-0.3392000000,1696,2593,254,100.0500000000,100.5100000000,1,1,1,0,0.1428571429,nan,100.1000000000,1
198,-36.4285999999,-157,100.0900000000,100.1100000000,0,0,19.900000,100.1800000000,100.1000000000,0.0200000000,5,5,0.000000,15691.8314000001,-15728.2600000000,-5.8628324353,-30.9071675647,-0.3414000000,1707,2609,256,100.0900000000,100.5500000000,1,1,1,0,0.2000000000,nan,100.1100000000,1
199,-11.2569999999,-157,100.1000000000,100.1100000000,0,0,20.000000,100.0200000000,100.1088888889,0.0100000000,8,1,0.777778,15691.8830000001,-15703.1400000000,-6.3385715955,-5.2614284045,-0.3430000000,1715,2623,258,100.1000000000,100.5200000000,1,1,1,0,0.1250000000,nan,100.1000000000,-1
200,-1.7049999999,-147,100.0800000000,100.1100000000,0,0,20.100000,99.9500000000,100.1050000000,0.0300000000,5,1,0.666667,14690.9450000001,-14692.6500000000,-7.4136944238,5.3636944238,-0.3450000000,1725,2638,259,100.1000000000,100.3000000000,0,1,0,0,nan,nan,100.0800000000,-1
201,-4.2921999999,-137,100.0500000000,100.1200000000,0,0,20.200000,99.9600000000,100.0616666667,0.0700000000,1,5,-0.666667,13690.2278000001,-13694.5200000000,-8.5237435118,3.8837435118,-0.3478000000,1739,2648,260,100.1100000000,100.2800000000,0,1,0,0,nan,nan,100.0500000000,-1
202,-1.4383999999,-124,100.1000000000,100.1200000000,0,0,20.300000,99.9300000000,100.1142857143,0.0200000000,5,2,0.428571,12389.8816000001,-12391.3200000000,-9.3923979902,7.6023979902,-0.3516000000,1758,2656,261,100.0800000000,100.2200000000,1,1,0,0,nan,nan,100.1200000000,1
203,0.9054000001,-109,100.1100000000,100.1300000000,0,0,20.400000,99.8900000000,100.1122222222,0.0200000000,1,8,-0.777778,10888.9154000001,-10888.0100000000,-10.7639309593,11.3139309593,-0.3554000000,1777,2665,262,100.0900000000,nan,1,0,0,0,nan,nan,100.1100000000,-1
204,-6.2123999999,-100,100.0800000000,100.1300000000,0,0,20.500000,99.9500000000,100.0871428571,0.0500000000,1,6,-0.714286,9988.7876000001,-9995.0000000000,-11.0770452001,4.5070452001,-0.3576000000,1788,2671,263,100.0800000000,nan,1,0,1,0,1.0000000000,nan,100.0000000000,-1
205,-3.7693999999,-89,99.9500000000,99.9600000000,0,0,20.600000,99.9200000000,99.9583333333,0.0100000000,5,1,0.666667,8889.1106000001,-8892.8800000000,-11.0614520983,6.9314520983,-0.3606000000,1803,2677,264,99.9500000000,nan,1,0,1,0,0.2000000000,nan,99.9600000000,1
206,-10.7889999999,-87,99.9800000000,99.9900000000,0,0,20.700000,100.0000000000,99.9850000000,0.0100000000,4,4,0.000000,8689.2110000001,-8700.0000000000,-10.9656891298,-0.1843108702,-0.3610000000,1805,2695,266,99.9800000000,100.1500000000,1,1,1,0,0.2500000000,nan,99.9700000000,-1
207,-9.9087999999,-86,100.0100000000,100.0200000000,0,0,20.800000,99.9900000000,100.0112500000,0.0100000000,1,7,-0.750000,8589.2312000001,-8599.1400000000,-10.9478076455,0.6778076456,-0.3612000000,1806,2707,266,99.9800000000,100.1900000000,1,1,0,0,nan,nan,100.0100000000,-1
208,-17.5083999999,-84,100.0100000000,100.0400000000,0,0,20.900000,100.0800000000,100.0343750000,0.0300000000,13,3,0.625000,8389.2116000001,-8406.7200000000,-10.9720446770,-6.8979553229,-0.3616000000,1808,2717,268,100.0100000000,100.2300000000,1,1,1,0,0.0769230769,nan,100.0400000000,1
209,-7.5081999999,-83,100.0400000000,100.0500000000,0,0,21.000000,99.9600000000,100.0490909091,0.0100000000,10,1,0.818182,8289.1718000001,-8296.6800000000,-11.0141631928,3.1441631928,-0.3618000000,1809,2745,270,100.0400000000,100.2200000000,1,1,1,0,0.1000000000,nan,100.0400000000,-1
210,-8.6551999999,-68,100.0300000000,100.0500000000,0,0,21.100000,99.9600000000,100.0460000000,0.0200000000,4,1,0.600000,6788.6248000001,-6797.2800000000,-11.5959409290,2.5759409290,-0.3648000000,1824,2767,271,100.0000000000,100.1200000000,1,1,0,0,nan,nan,100.0300000000,-1
211,-7.2225999999,-55,100.0100000000,100.0400000000,0,0,21.200000,99.9200000000,100.0370000000,0.0300000000,9,1,0.800000,5488.3774000001,-5495.6000000000,-11.8734816338,4.2834816338,-0.3674000000,1837,2779,273,99.9900000000,100.0500000000,1,1,0,0,nan,nan,100.0100000000,-1
212,-4.5397999998,-47,99.9900000000,100.0500000000,0,0,21.300000,99.8500000000,100.0328571429,0.0600000000,5,2,0.428571,4688.4102000002,-4692.9500000000,-11.9921399637,7.0821399637,-0.3702000000,1851,2784,273,99.9900000000,100.0700000000,1,1,1,0,0.2000000000,nan,100.0000000000,-1
213,-6.0471999998,-38,99.9800000000,100.0000000000,0,0,21.400000,99.8600000000,99.9924137931,0.0200000000,18,11,0.241379,3788.6328000002,-3794.6800000000,-11.7959501925,5.3759501925,-0.3728000000,1864,2820,275,99.9000000000,100.0000000000,1,1,0,1,nan,0.0909090909,99.9800000000,-1
214,-8.3337999998,-25,99.9800000000,99.9900000000,0,0,21.500000,99.8900000000,99.9811111111,0.0100000000,1,8,-0.777778,2488.9162000002,-2497.2500000000,-11.4773472750,2.7673472750,-0.3762000000,1881,2836,277,99.9300000000,99.9900000000,1,1,0,1,nan,0.1250000000,99.9800000000,-1
215,-10.0221999998,-21,99.9500000000,99.9600000000,0,0,21.600000,99.9600000000,99.9525000000,0.0100000000,1,3,-0.500000,2089.1378000002,-2099.1600000000,-11.2120969640,0.8120969640,-0.3778000000,1889,2852,279,99.8900000000,99.9600000000,1,1,0,1,nan,0.3333333333,99.9500000000,-1
216,-8.2809999998,-21,99.9400000000,99.9500000000,0,0,21.700000,99.8800000000,99.9486956522,0.0100000000,20,3,0.739130,2089.1990000002,-2097.4800000000,-11.0505848435,2.3905848435,-0.3790000000,1895,2857,280,99.9100000000,99.9500000000,1,1,0,1,nan,0.3333333333,99.9400000000,-1
217,-8.4285999998,-11,99.9400000000,99.9500000000,0,0,21.800000,99.8400000000,99.9490000000,0.0100000000,9,1,0.800000,1089.8114000002,-1098.2400000000,-10.4700637013,1.6600637013,-0.3814000000,1907,2863,281,99.8200000000,99.9500000000,1,1,0,1,nan,1.0000000000,99.9400000000,-1
218,-9.4767999998,-4,99.9300000000,99.9400000000,0,0,21.900000,99.9300000000,99.9368750000,0.0100000000,11,5,0.375000,390.2432000002,-399.7200000000,-10.0763829398,0.2163829398,-0.3832000000,1916,2867,281,99.8300000000,99.9400000000,1,1,0,1,nan,0.2000000000,99.9400000000,-1
219,-10.1753999998,-7,99.9300000000,99.9600000000,0,0,22.000000,100.0400000000,99.9562500000,0.0300000000,7,1,0.750000,690.1046000002,-700.2800000000,-9.9902393374,-0.5697606626,-0.3846000000,1923,2874,282,99.9100000000,100.0300000000,1,1,0,0,nan,nan,99.9300000000,-1
220,-12.4133999998,-17,99.9500000000,99.9900000000,0,0,22.100000,100.1400000000,99.9833333333,0.0400000000,5,1,0.666667,1689.9666000002,-1702.3800000000,-9.9902393374,-2.8097606626,-0.3866000000,1933,2879,283,99.9500000000,100.0500000000,1,1,1,0,0.2000000000,nan,99.9900000000,1
221,-12.2713999998,-25,99.9900000000,100.0000000000,0,0,22.200000,100.0900000000,99.9958333333,0.0100000000,7,5,0.166667,2489.9786000002,-2502.2500000000,-9.9974297639,-2.6625702361,-0.3886000000,1943,2901,285,99.9900000000,100.1800000000,1,1,1,0,0.1428571429,nan,100.0000000000,1
222,-11.9079999998,-34,100.0000000000,100.0200000000,0,0,22.300000,100.0600000000,100.0127272727,0.0200000000,7,4,0.272727,3390.1320000002,-3402.0400000000,-10.0136342260,-2.2863657740,-0.3920000000,1960,2919,287,100.0000000000,100.1400000000,1,1,1,0,0.1428571429,nan,100.0000000000,-1
223,-10.1361999998,-31,100.0100000000,100.0200000000,0,0,22.400000,100.0100000000,100.0181818182,0.0100000000,9,2,0.636364,3090.1738000002,-3100.3100000000,-10.0638557028,-0.4661442971,-0.3938000000,1969,2943,289,100.0100000000,100.1000000000,1,1,1,0,0.1111111111,nan,100.0100000000,-1
224,-10.1249999998,-27,100.0100000000,100.0200000000,0,0,22.500000,100.0100000000,100.0181818182,0.0100000000,9,2,0.636364,2690.1450000002,-2700.2700000000,-10.1351282493,-0.3848717507,-0.3950000000,1975,2945,290,100.0100000000,nan,1,0,1,0,0.1111111111,nan,100.0100000000,-1
225,-11.0843999998,-24,100.0100000000,100.0200000000,0,0,22.600000,100.0500000000,100.0190000000,0.0100000000,9,1,0.800000,2390.1156000002,-2401.2000000000,-10.1778917771,-1.3021082229,-0.3956000000,1978,2954,291,100.0000000000,100.0800000000,1,1,0,0,nan,nan,100.0100000000,-1
226,-11.3729999998,-27,100.0200000000,100.0500000000,0,0,22.700000,100.0600000000,100.0380000000,0.0300000000,3,2,0.200000,2690.2470000002,-2701.6200000000,-10.2223450618,-1.5476549382,-0.3970000000,1985,2984,293,100.0100000000,100.1200000000,1,1,0,0,nan,nan,100.0400000000,1
227,-14.0607999998,-34,100.0500000000,100.0700000000,0,0,22.800000,100.1400000000,100.0600000000,0.0200000000,12,12,0.000000,3390.6992000002,-3404.7600000000,-10.3003234954,-4.1596765045,-0.3992000000,1996,3004,295,100.0500000000,100.1900000000,1,1,1,0,0.0833333333,nan,100.0700000000,1
228,-16.5169999998,-45,100.0700000000,100.0800000000,0,0,22.900000,100.1800000000,100.0735714286,0.0100000000,5,9,-0.285714,4491.5830000002,-4508.1000000000,-10.4162863149,-6.5037136851,-0.4030000000,2015,3026,297,100.0600000000,100.3100000000,1,1,0,0,nan,nan,100.0800000000,1
229,-11.9749999998,-53,100.0700000000,100.0900000000,0,0,23.000000,100.0800000000,100.0860000000,0.0200000000,4,1,0.600000,5292.2650000002,-5304.2400000000,-10.4437148750,-1.9362851250,-0.4050000000,2025,3038,299,nan,nan,0,0,0,0,nan,nan,100.0900000000,1
230,-12.4131999998,-58,100.0800000000,100.1100000000,0,0,23.100000,100.0900000000,100.0939285714,0.0300000000,13,15,-0.071429,5792.8068000002,-5805.2200000000,-10.5035910458,-2.3164089542,-0.4068000000,2034,3048,299,100.0800000000,100.2400000000,1,1,1,0,0.0769230769,nan,100.0800000000,-1
231,-9.0097999998,-49,100.0800000000,100.1100000000,0,0,23.200000,100.0200000000,100.0937500000,0.0300000000,11,13,-0.083333,4891.9702000002,-4900.9800000000,-11.0938688388,1.6738688388,-0.4102000000,2051,3060,301,100.1000000000,100.2100000000,0,1,0,0,nan,nan,100.1000000000,-1
232,-13.6871999998,-48,100.0800000000,100.1100000000,0,0,23.300000,100.1200000000,100.0915384615,0.0300000000,5,8,-0.230769,4792.0728000002,-4805.7600000000,-11.2558500005,-2.8441499995,-0.4128000000,2064,3065,302,100.0500000000,100.1100000000,1,1,0,1,nan,0.1250000000,100.0800000000,-1
233,-12.7163999998,-46,100.1000000000,100.1100000000,0,0,23.400000,100.1000000000,100.1075000000,0.0100000000,12,4,0.500000,4591.8836000002,-4604.6000000000,-11.3705938780,-1.7594061220,-0.4136000000,2068,3089,304,100.1000000000,100.2300000000,1,1,1,0,0.0833333333,nan,100.1000000000,-1
234,-12.2955999998,-42,100.1000000000,100.1100000000,0,0,23.500000,100.0900000000,100.1061538462,0.0100000000,8,5,0.230769,4191.4844000002,-4203.7800000000,-11.5235857147,-1.1864142853,-0.4144000000,2072,3100,305,100.1000000000,100.2200000000,1,1,1,0,0.1250000000,nan,100.1100000000,1
235,-10.4841999998,-37,100.1000000000,100.1100000000,0,0,23.600000,100.0400000000,100.1050000000,0.0100000000,3,3,0.000000,3690.9958000002,-3701.4800000000,-11.7518037866,0.8518037866,-0.4158000000,2079,3109,306,100.1000000000,100.2000000000,1,1,1,0,0.3333333333,nan,100.1000000000,-1
236,-9.9619999998,-32,100.0800000000,100.1200000000,0,0,23.700000,100.0200000000,100.0847058824,0.0400000000,2,15,-0.764706,3190.6780000002,-3200.6400000000,-11.8999978863,1.5199978863,-0.4180000000,2090,3116,307,100.0500000000,100.1300000000,1,1,0,0,nan,nan,100.0800000000,-1
237,-10.4299999998,-22,100.0600000000,100.1000000000,0,0,23.800000,100.0200000000,100.0866666667,0.0400000000,8,4,0.333333,2190.0100000002,-2200.4400000000,-11.8949985468,1.0449985468,-0.4200000000,2100,3121,308,100.0500000000,100.1000000000,1,1,0,1,nan,0.2500000000,100.0600000000,-1
238,-10.8471999998,-14,100.0600000000,100.0800000000,0,0,23.900000,100.0300000000,100.0733333333,0.0200000000,4,2,0.333333,1389.5728000002,-1400.4200000000,-11.8462631553,0.5762631553,-0.4228000000,2114,3141,310,100.0400000000,100.0800000000,1,1,0,1,nan,0.5000000000,100.0600000000,-1
239,-10.5749999998,-5,100.0500000000,100.0700000000,0,0,24.000000,99.9400000000,100.0636842105,0.0200000000,13,6,0.368421,489.1250000002,-499.7000000000,-11.6592076336,0.6592076336,-0.4250000000,2125,3155,312,100.0000000000,100.0700000000,1,1,0,1,nan,0.1666666667,100.0500000000,-1
240,-11.0931999998,0,100.0500000000,100.0600000000,0,0,24.100000,100.0100000000,100.0516666667,0.0100000000,2,10,-0.666667,-11.0931999998,0.0000000000,-11.5200000000,0.0000000000,-0.4268000000,2134,3173,314,99.9500000000,100.0600000000,1,1,0,1,nan,0.1000000000,100.0500000000,-1
241,-11.0605999998,-1,100.0500000000,100.0600000000,0,0,24.200000,100.0800000000,100.0550000000,0.0100000000,3,3,0.000000,89.0194000002,-100.0800000000,-11.4700000000,-0.0200000000,-0.4294000000,2147,3188,316,100.0400000000,100.0700000000,1,1,0,0,nan,nan,100.0600000000,1
242,-11.7879999998,-12,100.0900000000,100.1000000000,0,0,24.300000,100.1400000000,100.0950000000,0.0100000000,2,2,0.000000,1189.8920000002,-1201.6800000000,-11.4566666667,-0.7633333333,-0.4320000000,2160,3198,317,100.0900000000,100.2000000000,1,1,1,0,0.5000000000,nan,100.1000000000,1
243,-10.1775999998,-14,100.0900000000,100.1000000000,0,0,24.400000,100.0200000000,100.0990909091,0.0100000000,10,1,0.818182,1390.1024000002,-1400.2800000000,-11.4566666667,0.8466666667,-0.4324000000,2162,3212,317,100.0900000000,100.1800000000,1,1,1,0,0.1000000000,nan,100.1000000000,-1
244,-10.8055999998,-6,100.0900000000,100.1000000000,0,0,24.500000,100.0300000000,100.0941666667,0.0100000000,5,7,-0.166667,589.3744000002,-600.1800000000,-11.5545714286,0.3145714286,-0.4344000000,2172,3228,319,100.0600000000,100.1000000000,1,1,0,1,nan,0.1428571429,100.0900000000,-1
245,-11.0343999998,-8,100.0900000000,100.1000000000,0,0,24.600000,100.0800000000,100.0950000000,0.0100000000,3,3,0.000000,789.6056000002,-800.6400000000,-11.5531250000,0.0831250000,-0.4356000000,2178,3241,320,100.0400000000,100.1000000000,1,1,0,1,nan,0.3333333333,100.1000000000,1
246,-11.0825999998,1,100.0700000000,100.0900000000,0,0,24.700000,100.0300000000,100.0778260870,0.0200000000,9,14,-0.217391,-111.1125999998,100.0300000000,-11.4700000000,-0.0500000000,-0.4374000000,2187,3263,322,100.0300000000,100.0900000000,1,1,0,1,nan,0.0714285714,100.0800000000,-1
247,-10.9615999998,4,100.0600000000,100.0800000000,0,0,24.800000,100.0800000000,100.0780000000,0.0200000000,9,1,0.800000,-411.2815999998,400.3200000000,-11.4600000000,0.0600000000,-0.4384000000,2192,3270,324,nan,nan,0,0,0,0,nan,nan,100.0600000000,-1
248,-11.5193999998,9,100.0700000000,100.0800000000,0,0,24.900000,100.0100000000,100.0775000000,0.0100000000,3,1,0.500000,-911.6093999998,900.0900000000,-11.4335000000,-0.5265000000,-0.4406000000,2203,3285,324,100.0700000000,100.1100000000,1,1,1,0,0.3333333333,nan,100.0700000000,-1
249,-10.9385999998,9,100.0600000000,100.0700000000,0,0,25.000000,100.0700000000,100.0687500000,0.0100000000,7,1,0.750000,-911.5685999998,900.6300000000,-11.4005000000,0.0205000000,-0.4414000000,2207,3303,325,99.9800000000,100.0800000000,1,1,0,0,nan,nan,100.0800000000,1
250,-11.6965999998,15,100.0500000000,100.0700000000,0,0,25.100000,100.0100000000,100.0600000000,0.0200000000,12,12,0.000000,-1511.8465999998,1500.1500000000,-11.3733703704,-0.7666296296,-0.4434000000,2217,3326,327,99.9900000000,100.0700000000,1,1,0,1,nan,0.0833333333,100.0500000000,-1
251,-11.4949999998,21,100.0500000000,100.0600000000,0,0,25.200000,100.0300000000,100.0522222222,0.0100000000,2,7,-0.555556,-2112.1249999998,2100.6300000000,-11.3637847222,-0.5762152778,-0.4450000000,2225,3336,329,99.9700000000,100.0600000000,1,1,0,1,nan,0.1428571429,100.0500000000,-1
252,-11.0339999998,26,100.0400000000,100.0600000000,0,0,25.300000,100.0500000000,100.0508333333,0.0200000000,13,11,0.083333,-2612.3339999998,2601.3000000000,-11.3637847222,-0.1162152778,-0.4460000000,2230,3342,331,nan,nan,0,0,0,0,nan,nan,100.0400000000,-1
253,-11.9327999998,32,100.0400000000,100.0500000000,0,0,25.400000,100.0200000000,100.0430434783,0.0100000000,7,16,-0.391304,-3212.5727999998,3200.6400000000,-11.3637847222,-1.0162152778,-0.4472000000,2236,3363,331,100.0000000000,100.0500000000,1,1,0,1,nan,0.0625000000,100.0400000000,-1
254,-18.6709999998,39,100.0300000000,100.0500000000,0,0,25.500000,99.8500000000,100.0406666667,0.0200000000,16,14,0.066667,-3912.8209999998,3894.1500000000,-11.3626901042,-7.7573098958,-0.4490000000,2245,3380,332,99.8800000000,100.0500000000,1,1,0,1,nan,0.0714285714,100.0500000000,1
255,-20.4077999998,49,100.0200000000,100.0400000000,0,0,25.600000,99.8500000000,100.0275000000,0.0200000000,12,20,-0.250000,-4913.0577999998,4892.6500000000,-11.3758277551,-9.4841722449,-0.4522000000,2261,3414,334,99.7300000000,100.0400000000,1,1,0,1,nan,0.0500000000,100.0400000000,1
256,-18.1061999998,55,100.0100000000,100.0300000000,0,0,25.700000,99.9100000000,100.0249019608,0.0200000000,38,13,0.490196,-5513.1561999998,5495.0500000000,-11.3784585834,-7.1815414166,-0.4538000000,2269,3436,336,99.7400000000,100.0300000000,1,1,0,1,nan,0.0769230769,100.0200000000,-1
257,-20.4941999998,61,100.0100000000,100.0200000000,0,0,25.800000,99.8800000000,100.0181081081,0.0100000000,30,7,0.621622,-6113.1741999998,6092.6800000000,-11.3959599997,-9.5540400003,-0.4558000000,2279,3448,338,99.7700000000,100.0200000000,1,1,0,1,nan,0.1428571429,100.0100000000,-1
258,-19.1109999998,73,100.0100000000,100.0200000000,0,0,25.900000,99.9200000000,100.0166666667,0.0100000000,16,8,0.333333,-7313.2709999998,7294.1600000000,-11.4279258998,-8.1420741002,-0.4590000000,2295,3452,339,nan,100.0200000000,0,1,0,1,nan,0.1250000000,100.0100000000,-1
259,-16.7477999998,85,100.0000000000,100.0200000000,0,0,26.000000,99.9600000000,100.0136842105,0.0200000000,13,6,0.368421,-8513.3477999998,8496.6000000000,-11.4487589933,-5.7612410067,-0.4622000000,2311,3458,339,99.7400000000,100.0200000000,1,1,0,1,nan,0.1666666667,100.0000000000,-1
260,-14.2161999998,89,100.0000000000,100.0100000000,0,0,26.100000,99.9900000000,100.0025000000,0.0100000000,4,12,-0.500000,-8913.3261999998,8899.1100000000,-11.4806544001,-3.1993455999,-0.4638000000,2319,3476,341,99.7600000000,100.0100000000,1,1,0,1,nan,0.0833333333,100.0100000000,1
261,-11.5253999998,89,100.0000000000,100.0100000000,0,0,26.200000,100.0200000000,100.0016666667,0.0100000000,3,15,-0.666667,-8913.3053999998,8901.7800000000,-11.5114092484,-0.4785907516,-0.4646000000,2323,3488,342,99.8000000000,100.0100000000,1,1,0,1,nan,0.0666666667,100.0100000000,1
262,-9.9733999998,81,100.0000000000,100.0100000000,0,0,26.300000,100.0400000000,100.0050000000,0.0100000000,1,1,0.000000,-8113.2133999998,8103.2400000000,-11.6498060660,1.2098060660,-0.4666000000,2333,3501,343,99.8300000000,100.0100000000,1,0,0,1,nan,0.0000000000,100.0100000000,1
263,-13.1121999998,75,99.9900000000,100.0000000000,0,0,26.400000,100.0000000000,99.9982352941,0.0100000000,28,6,0.647059,-7513.1121999998,7500.0000000000,-11.7001908018,-1.8798091982,-0.4678000000,2339,3506,344,99.8400000000,100.0000000000,1,1,0,1,nan,0.1666666667,100.0000000000,1
264,-13.8413999998,75,99.9900000000,100.0000000000,0,0,26.500000,99.9900000000,99.9989285714,0.0100000000,25,3,0.785714,-7513.0913999998,7499.2500000000,-11.7493963070,-2.5606036929,-0.4686000000,2343,3512,345,99.8800000000,100.0000000000,1,1,0,1,nan,0.3333333333,99.9900000000,-1
265,-21.0299999998,80,99.9900000000,100.0000000000,0,0,26.600000,99.9000000000,99.9993750000,0.0100000000,15,1,0.875000,-8013.0299999998,7992.0000000000,-11.7730884609,-9.7269115391,-0.4700000000,2350,3514,346,nan,100.0000000000,0,1,0,1,nan,1.0000000000,99.9900000000,-1
266,-21.5583999998,86,99.9900000000,100.0100000000,0,0,26.700000,99.9000000000,100.0050000000,0.0200000000,3,1,0.500000,-8612.9583999998,8591.4000000000,-11.7942848997,-10.2357151003,-0.4716000000,2358,3523,346,99.7100000000,100.0000000000,1,0,0,0,nan,nan,99.9900000000,-1
267,-19.1775999998,90,99.9800000000,99.9900000000,0,0,26.800000,99.9300000000,99.9892857143,0.0100000000,13,1,0.857143,-9012.8775999998,8993.7000000000,-11.7942848997,-7.8557151003,-0.4724000000,2362,3527,347,99.6500000000,99.9900000000,1,1,0,1,nan,1.0000000000,99.9800000000,-1
268,-21.5853999998,99,99.9700000000,99.9900000000,0,0,26.900000,99.9100000000,99.9891666667,0.0200000000,23,1,0.916667,-9912.6753999998,9891.0900000000,-11.8188799007,-10.2411200993,-0.4746000000,2373,3541,348,99.6900000000,99.9900000000,1,0,0,1,nan,0.0000000000,99.9700000000,-1
269,-20.0431999998,110,99.9700000000,99.9800000000,0,0,27.000000,99.9300000000,99.9768750000,0.0100000000,11,5,0.375000,-11012.3431999998,10992.3000000000,-11.8188799007,-8.7011200993,-0.4768000000,2384,3546,349,99.6800000000,99.9800000000,1,1,0,1,nan,0.2000000000,99.9700000000,-1
270,0.7586000002,109,99.9700000000,100.0200000000,0,0,27.100000,100.1200000000,100.0100000000,0.0500000000,8,2,0.600000,-10912.3213999998,10913.0800000000,-11.9601898642,12.2401898643,-0.4786000000,2393,3552,350,99.7600000000,99.9800000000,1,0,0,0,nan,nan,99.9700000000,-1
271,-5.0189999997,99,99.9700000000,100.0400000000,0,0,27.200000,100.0700000000,99.9882608696,0.0700000000,6,17,-0.478261,-9911.9489999997,9906.9300000000,-11.7011708778,6.2011708778,-0.4810000000,2405,3556,351,nan,99.9800000000,0,0,0,0,nan,nan,100.0400000000,1
272,-9.8273999997,91,100.0300000000,100.0400000000,0,0,27.300000,100.0200000000,100.0308333333,0.0100000000,1,11,-0.833333,-9111.6473999997,9101.8200000000,-11.4600661604,1.1500661604,-0.4826000000,2413,3565,351,99.8500000000,100.0400000000,1,1,0,1,nan,0.0909090909,100.0400000000,1
273,-11.6473999997,91,99.9900000000,100.0400000000,0,0,27.400000,100.0000000000,99.9929411765,0.0500000000,1,16,-0.882353,-9111.6473999997,9100.0000000000,-11.4600661604,-0.6699338396,-0.4826000000,2413,3570,352,99.8200000000,100.0400000000,1,1,0,1,nan,0.0625000000,100.0000000000,-1
274,-15.2873999997,91,99.9600000000,99.9900000000,0,0,27.500000,99.9600000000,99.9800000000,0.0300000000,8,4,0.333333,-9111.6473999997,9096.3600000000,-11.4600661604,-4.3099338396,-0.4826000000,2413,3579,354,99.7800000000,99.9900000000,1,1,0,1,nan,0.2500000000,99.9700000000,-1
275,-19.9563999997,94,99.9600000000,99.9700000000,0,0,27.600000,99.9100000000,99.9611764706,0.0100000000,2,15,-0.764706,-9411.4963999997,9391.5400000000,-11.4774280707,-8.9625719292,-0.4836000000,2418,3597,356,99.7400000000,99.9700000000,1,1,0,1,nan,0.0666666667,99.9600000000,-1
276,-24.1847999997,100,99.9500000000,99.9600000000,0,0,27.700000,99.8700000000,99.9552631579,0.0100000000,10,9,0.052632,-10011.1847999997,9987.0000000000,-11.5122972489,-13.1577027510,-0.4852000000,2426,3617,358,99.6100000000,99.9600000000,1,1,0,1,nan,0.1111111111,99.9500000000,-1
277,-22.4031999997,104,99.9500000000,99.9600000000,0,0,27.800000,99.8900000000,99.9525000000,0.0100000000,3,9,-0.500000,-10410.9631999997,10388.5600000000,-11.5915023625,-11.2984976374,-0.4868000000,2434,3623,359,99.6400000000,99.9600000000,1,1,0,1,nan,0.1111111111,99.9600000000,1
278,-19.2621999997,105,99.9400000000,99.9500000000,0,0,27.900000,99.9200000000,99.9487500000,0.0100000000,7,1,0.750000,-10510.8621999997,10491.6000000000,-11.6687811633,-8.0812188367,-0.4878000000,2439,3628,359,99.6700000000,99.9600000000,1,1,0,0,nan,nan,99.9400000000,-1
279,-24.7595999997,110,99.9300000000,99.9500000000,0,0,28.000000,99.8700000000,99.9357142857,0.0200000000,4,10,-0.428571,-11010.4595999997,10985.7000000000,-11.8426769110,-13.4073230889,-0.4904000000,2452,3649,361,99.6800000000,99.9500000000,1,1,0,1,nan,0.1000000000,99.9500000000,1
