step,equity,inventory,bid,ask,bid_missing,ask_missing,t,mid_mark,microprice,spread,bid_sz,ask_sz,imbalance,cash,inv_value,realized_pnl,unreal_pnl,fees_paid,mm_fills,mm_cancels_sub,mm_cancels_ok,mm_bid_px,mm_ask_px,mm_bid_qty,mm_ask_qty,mm_at_best_bid,mm_at_best_ask,tob_share_bid,tob_share_ask,last_trade_px,last_trade_sign
31,-1.0870000000,21,99.8400000000,99.8600000000,0,0,3.200000,100.0600000000,99.8454545455,0.0200000000,3,8,-0.454545,-2102.3470000000,2101.2600000000,-4.4970929901,3.3570929901,-0.0530000000,265,469,46,99.8400000000,100.0400000000,1,1,1,0,0.3333333333,nan,99.8500000000,1
32,-4.3338000000,9,99.8600000000,99.8700000000,0,0,3.300000,99.9500000000,99.8640000000,0.0100000000,6,9,-0.200000,-903.8838000000,899.5500000000,-4.8971360047,0.5071360047,-0.0562000000,281,472,47,99.8600000000,100.0500000000,1,1,1,0,0.1666666667,nan,99.8700000000,1
33,-5.1814000000,11,99.8400000000,99.8500000000,0,0,3.400000,99.8500000000,99.8483333333,0.0100000000,5,1,0.666667,-1103.5314000000,1098.3500000000,-4.9803961626,-0.2596038374,-0.0586000000,293,478,48,99.8400000000,99.9700000000,1,1,1,0,0.2000000000,nan,99.8300000000,1
34,-4.8602000000,5,99.8500000000,99.8800000000,0,0,3.500000,99.8800000000,99.8533333333,0.0300000000,1,8,-0.777778,-504.2602000000,499.4000000000,-4.9519982557,0.0319982557,-0.0598000000,299,485,49,99.8400000000,99.8800000000,1,1,0,1,nan,0.1250000000,99.8800000000,1
35,-5.0588000000,2,99.8500000000,99.8700000000,0,0,3.600000,99.7900000000,99.8633333333,0.0200000000,4,2,0.333333,-204.6388000000,199.5800000000,-4.9548566445,-0.1651433555,-0.0612000000,306,503,51,99.8300000000,99.8700000000,1,0,0,1,nan,0.0000000000,99.8700000000,1
36,-5.1874000000,7,99.8400000000,99.8700000000,0,0,3.700000,99.8100000000,99.8600000000,0.0300000000,4,2,0.333333,-703.8574000000,698.6700000000,-4.9599044297,-0.2900955703,-0.0626000000,313,504,52,99.7700000000,99.8600000000,1,0,0,0,nan,nan,99.8400000000,-1
37,-5.0364000000,8,99.8400000000,99.8500000000,0,0,3.800000,99.8300000000,99.8466666667,0.0100000000,2,1,0.333333,-803.6764000000,798.6400000000,-4.9627888783,-0.1372111217,-0.0636000000,318,506,53,99.8000000000,99.8500000000,1,0,0,1,nan,0.0000000000,99.8700000000,1
38,-4.5162000000,7,99.8500000000,99.8600000000,0,0,3.900000,99.9000000000,99.8550000000,0.0100000000,2,2,0.000000,-703.8162000000,699.3000000000,-4.9499402685,0.3699402685,-0.0638000000,319,511,54,99.8200000000,99.8600000000,1,1,0,1,nan,0.5000000000,99.8500000000,-1
39,-4.6154000000,5,99.8700000000,99.8800000000,0,0,4.000000,99.8900000000,99.8709090909,0.0100000000,1,10,-0.818182,-504.0654000000,499.4500000000,-4.8779226134,0.1979226134,-0.0646000000,323,531,56,99.8500000000,99.9200000000,1,1,0,0,nan,nan,99.8800000000,1
40,-4.5648000000,2,99.8700000000,99.8800000000,0,0,4.100000,99.9300000000,99.8785714286,0.0100000000,6,1,0.714286,-204.4248000000,199.8600000000,-4.7891690454,0.1591690454,-0.0652000000,326,540,58,99.8700000000,99.9300000000,1,1,1,0,0.1666666667,nan,99.8800000000,1
41,-4.5732000000,0,99.8800000000,99.9000000000,0,0,4.200000,99.9300000000,99.8892857143,0.0200000000,13,15,-0.071429,-4.5732000000,0.0000000000,-4.6400000000,0.0000000000,-0.0668000000,334,563,60,99.8800000000,99.9900000000,1,1,1,0,0.0769230769,nan,99.9000000000,1
42,-4.7722000000,-5,99.8900000000,99.9000000000,0,0,4.300000,99.9400000000,99.8916666667,0.0100000000,2,10,-0.666667,494.9278000000,-499.7000000000,-4.6400000000,-0.2000000000,-0.0678000000,339,574,62,nan,nan,0,0,0,0,nan,nan,99.9000000000,1
43,-5.2908000000,-12,99.8900000000,99.9000000000,0,0,4.400000,99.9600000000,99.8978571429,0.0100000000,11,3,0.571429,1194.2292000000,-1199.5200000000,-4.6400000000,-0.7200000000,-0.0692000000,346,586,62,99.8900000000,99.9100000000,1,1,1,0,0.0909090909,nan,99.9000000000,1
44,-4.2300000000,-16,99.8900000000,99.9100000000,0,0,4.500000,99.8800000000,99.9000000000,0.0200000000,11,11,0.000000,1593.8500000000,-1598.0800000000,-4.6400000000,0.3400000000,-0.0700000000,350,595,63,99.8900000000,100.0100000000,1,1,1,0,0.0909090909,nan,99.9100000000,1
45,-4.5192000000,-14,99.8900000000,99.9000000000,0,0,4.600000,99.9000000000,99.8943750000,0.0100000000,7,9,-0.125000,1394.0808000000,-1398.6000000000,-4.6063333333,0.0163333333,-0.0708000000,354,611,65,99.8500000000,99.9000000000,1,1,0,1,nan,0.1111111111,99.8900000000,-1
46,-3.7474000000,-19,99.9000000000,99.9100000000,0,0,4.700000,99.8600000000,99.9030769231,0.0100000000,4,9,-0.384615,1893.5926000000,-1897.3400000000,-4.5947777778,0.7747777778,-0.0726000000,363,635,67,99.8900000000,100.0000000000,1,1,0,0,nan,nan,99.9000000000,-1
47,-3.9158000000,-11,99.8900000000,99.9000000000,0,0,4.800000,99.8500000000,99.8965000000,0.0100000000,13,7,0.300000,1094.4342000000,-1098.3500000000,-4.5485555556,0.5585555556,-0.0742000000,371,645,69,99.8300000000,99.9000000000,1,1,0,1,nan,0.1428571429,99.8900000000,-1
48,-4.7244000000,-14,99.8900000000,99.9000000000,0,0,4.900000,99.9200000000,99.8959090909,0.0100000000,13,9,0.181818,1394.1556000000,-1398.8800000000,-4.5273333333,-0.2726666667,-0.0756000000,378,655,69,99.8500000000,99.9000000000,1,1,0,1,nan,0.1111111111,99.9000000000,1
49,-5.6234000000,-15,99.8900000000,99.9000000000,0,0,5.000000,99.9800000000,99.8985714286,0.0100000000,30,5,0.714286,1494.0766000000,-1499.7000000000,-4.5062857143,-1.1937142857,-0.0766000000,383,679,71,99.8900000000,99.9500000000,1,1,1,0,0.0333333333,nan,99.9000000000,1
50,-4.5924000000,-18,99.8900000000,99.9000000000,0,0,5.100000,99.9100000000,99.8996666667,0.0100000000,29,1,0.933333,1793.7876000000,-1798.3800000000,-4.4959548872,-0.1740451128,-0.0776000000,388,692,72,99.8900000000,99.9800000000,1,1,1,0,0.0344827586,nan,99.8900000000,-1
51,-3.5016000000,-22,99.9000000000,99.9100000000,0,0,5.200000,99.8600000000,99.9058823529,0.0100000000,10,7,0.176471,2193.4184000000,-2196.9200000000,-4.4959548872,0.9159548872,-0.0784000000,392,703,74,99.9000000000,99.9700000000,1,1,1,0,0.1000000000,nan,99.9100000000,1
52,-3.2904000000,-26,99.9000000000,99.9100000000,0,0,5.300000,99.8600000000,99.9090000000,0.0100000000,9,1,0.800000,2593.0696000000,-2596.3600000000,-4.4927713729,1.1227713729,-0.0796000000,398,711,76,nan,99.9500000000,0,1,0,0,nan,nan,99.9000000000,-1
53,-3.9188000000,-20,99.8900000000,99.9200000000,0,0,5.400000,99.8800000000,99.9076470588,0.0300000000,30,21,0.176471,1993.6812000000,-1997.6000000000,-4.4771234754,0.4771234754,-0.0812000000,406,715,76,99.8900000000,99.9500000000,1,1,1,0,0.0333333333,nan,99.8900000000,-1
54,-3.2772000000,-20,99.9100000000,99.9200000000,0,0,5.500000,99.8500000000,99.9117391304,0.0100000000,4,19,-0.652174,1993.7228000000,-1997.0000000000,-4.4909362295,1.1309362295,-0.0828000000,414,733,78,99.9100000000,99.9700000000,1,1,1,0,0.2500000000,nan,99.9100000000,-1
